Frame, X, Y
50, 559, 343
51, 612, 341
51, 554, 342
52, 548, 339
53, 580, 341
53, 550, 339
54, 545, 361
54, 546, 343
54, 611, 337
54, 577, 342
55, 541, 342
55, 574, 336
56, 574, 345
57, 574, 345
69, 616, 369
71, 615, 362
72, 612, 339
74, 577, 342
75, 574, 339
76, 574, 342
77, 573, 342
78, 573, 342
79, 569, 338
80, 570, 338
81, 570, 343
82, 560, 338
83, 568, 338
84, 569, 339
85, 562, 337
86, 567, 338
87, 574, 338
95, 315, 357
96, 322, 359
97, 375, 365
97, 319, 360
98, 365, 361
98, 316, 359
98, 302, 357
99, 365, 361
99, 316, 359
99, 302, 357
100, 357, 363
100, 301, 355
101, 348, 357
103, 340, 356
104, 336, 355
105, 334, 353
106, 334, 352
107, 337, 348
108, 336, 347
111, 337, 347
113, 334, 346
115, 333, 344
116, 333, 343
118, 333, 343
119, 333, 345
120, 334, 345
121, 335, 344
122, 335, 344
123, 334, 347
125, 335, 347
126, 335, 346
127, 335, 348
129, 334, 347
130, 333, 350
131, 332, 351
133, 333, 354
134, 333, 355
135, 333, 357
136, 332, 359
138, 333, 362
138, 581, 340
139, 333, 364
139, 581, 344
140, 334, 362
140, 578, 337
141, 333, 364
142, 333, 363
142, 580, 340
143, 582, 349
143, 577, 337
144, 577, 337
145, 580, 343
146, 331, 361
147, 331, 363
147, 577, 338
148, 331, 361
148, 613, 338
148, 577, 336
149, 575, 337
150, 577, 341
151, 330, 358
151, 576, 340
152, 330, 357
152, 575, 337
153, 574, 339
154, 329, 359
154, 573, 339
155, 329, 358
155, 571, 341
156, 575, 339
157, 575, 338
158, 571, 340
159, 576, 338
160, 330, 358
160, 578, 346
162, 327, 354
164, 326, 352
165, 328, 350
167, 329, 346
168, 330, 347
170, 334, 348
171, 334, 349
172, 336, 353
173, 337, 353
174, 338, 359
176, 343, 365
177, 346, 378
178, 349, 379
179, 350, 389
180, 354, 397
181, 356, 407
182, 358, 410
185, 364, 441
185, 365, 426
186, 366, 445
186, 541, 338
187, 366, 450
187, 364, 436
187, 540, 355
187, 546, 339
188, 374, 451
188, 548, 343
189, 372, 448
189, 539, 355
189, 539, 338
189, 557, 337
190, 374, 450
190, 539, 359
190, 551, 339
191, 379, 452
191, 377, 438
191, 551, 340
192, 377, 440
192, 540, 357
192, 550, 340
193, 378, 439
193, 378, 426
193, 539, 341
193, 558, 339
194, 375, 432
194, 376, 418
194, 540, 359
194, 546, 339
195, 376, 418
195, 546, 341
196, 374, 404
196, 544, 340
197, 372, 411
197, 539, 339
199, 370, 386
200, 365, 381
201, 368, 377
202, 273, 378
203, 301, 375
204, 272, 373
204, 300, 373
204, 365, 368
205, 271, 371
205, 297, 372
205, 363, 368
206, 364, 382
206, 294, 372
206, 270, 370
207, 284, 373
207, 367, 370
208, 268, 376
208, 362, 375
208, 291, 378
209, 363, 394
209, 274, 383
209, 295, 382
210, 282, 386
211, 364, 403
211, 365, 389
211, 282, 392
212, 289, 398
212, 266, 396
212, 363, 393
213, 364, 400
213, 538, 335
214, 369, 403
214, 281, 406
214, 543, 341
215, 368, 420
215, 281, 411
215, 539, 353
215, 543, 340
216, 369, 430
216, 370, 412
216, 545, 339
217, 373, 432
217, 372, 416
217, 280, 419
217, 548, 337
218, 373, 429
218, 542, 360
218, 550, 342
219, 373, 433
219, 550, 340
220, 373, 435
220, 551, 341
221, 373, 433
221, 553, 339
222, 373, 435
222, 541, 360
222, 556, 337
223, 374, 435
224, 370, 452
224, 370, 438
224, 540, 360
224, 556, 339
225, 372, 457
225, 373, 441
225, 543, 361
225, 563, 337
225, 539, 337
226, 373, 457
226, 372, 441
227, 370, 455
227, 373, 443
227, 540, 360
227, 538, 339
227, 562, 337
228, 370, 455
228, 373, 443
228, 540, 360
228, 538, 339
228, 562, 337
229, 373, 460
229, 372, 443
229, 539, 355
229, 564, 338
230, 371, 460
230, 371, 443
230, 539, 356
230, 564, 337
230, 538, 338
231, 370, 443
231, 540, 357
231, 557, 338
232, 373, 462
232, 540, 353
232, 556, 339
233, 373, 464
233, 378, 448
233, 568, 338
233, 543, 336
234, 379, 463
234, 375, 449
234, 541, 360
235, 374, 458
235, 542, 361
235, 563, 340
236, 377, 474
236, 377, 457
236, 540, 357
236, 573, 353
236, 559, 339
237, 378, 460
237, 580, 350
237, 558, 337
238, 377, 468
238, 540, 359
238, 564, 338
239, 377, 468
239, 540, 359
239, 564, 338
240, 376, 476
240, 377, 465
240, 578, 349
240, 572, 337
240, 539, 336
241, 379, 466
241, 539, 354
241, 539, 339
241, 568, 337
242, 377, 459
242, 538, 339
242, 565, 337
243, 377, 466
243, 374, 449
244, 371, 443
244, 544, 362
245, 372, 442
245, 560, 337
245, 539, 338
246, 373, 442
246, 371, 425
246, 550, 340
247, 368, 435
247, 371, 418
247, 549, 339
248, 370, 413
248, 546, 340
249, 543, 340
250, 543, 340
251, 365, 415
251, 365, 396
251, 542, 343
252, 365, 406
252, 367, 391
253, 365, 399
253, 364, 385
253, 277, 387
254, 364, 375
254, 277, 378
255, 277, 374
256, 292, 371
256, 270, 372
256, 366, 368
257, 362, 382
257, 287, 370
257, 265, 369
258, 363, 377
258, 262, 364
258, 285, 366
258, 362, 361
259, 362, 370
259, 291, 360
260, 362, 370
260, 291, 360
261, 261, 357
261, 291, 356
262, 358, 363
262, 291, 352
263, 357, 359
263, 261, 348
264, 353, 355
265, 353, 350
265, 355, 338
267, 352, 347
268, 352, 342
269, 351, 345
270, 350, 346
271, 350, 346
274, 350, 350
276, 353, 350
277, 352, 348
278, 354, 351
280, 354, 350
281, 354, 350
282, 356, 349
283, 356, 349
284, 355, 348
284, 358, 334
285, 355, 348
286, 357, 348
287, 356, 345
289, 357, 339
290, 354, 334
294, 353, 329
300, 351, 319
305, 348, 313
306, 348, 311
308, 346, 308
309, 347, 306
312, 346, 298
320, 350, 303
321, 351, 306
323, 352, 322
325, 356, 320
326, 356, 338
326, 357, 327
327, 359, 348
327, 359, 335
328, 359, 355
329, 363, 365
330, 366, 354
331, 364, 375
331, 367, 359
332, 370, 370
333, 368, 383
337, 301, 380
338, 368, 387
338, 300, 379
339, 269, 379
339, 299, 377
340, 272, 377
340, 295, 376
341, 271, 371
341, 292, 372
342, 287, 369
343, 371, 377
343, 289, 367
344, 271, 370
344, 296, 370
345, 288, 370
345, 373, 363
346, 288, 372
347, 287, 374
348, 375, 387
348, 287, 377
349, 375, 387
349, 287, 377
349, 374, 371
350, 380, 385
350, 287, 378
351, 375, 384
351, 288, 378
352, 287, 377
353, 288, 377
353, 381, 370
354, 377, 385
354, 288, 376
354, 374, 370
355, 289, 376
355, 378, 370
356, 377, 385
356, 288, 376
357, 376, 388
357, 288, 377
357, 378, 370
358, 377, 388
358, 287, 376
358, 379, 373
359, 288, 376
359, 381, 370
360, 375, 378
361, 377, 385
362, 377, 386
362, 289, 375
363, 377, 386
363, 289, 375
363, 382, 369
364, 377, 383
364, 289, 375
364, 377, 369
365, 378, 385
365, 290, 375
366, 380, 381
366, 290, 375
367, 377, 385
367, 290, 374
368, 378, 383
368, 290, 374
369, 380, 385
369, 290, 375
370, 379, 385
370, 290, 375
370, 379, 369
371, 379, 384
371, 291, 376
372, 290, 376
372, 380, 371
373, 384, 383
373, 291, 376
373, 378, 370
374, 378, 386
375, 291, 376
375, 538, 339
376, 379, 384
376, 292, 376
376, 538, 338
377, 292, 376
377, 379, 372
378, 292, 377
378, 539, 340
379, 292, 376
379, 538, 342
380, 380, 385
380, 292, 377
380, 382, 370
381, 293, 377
382, 293, 377
383, 381, 384
383, 293, 377
383, 382, 370
383, 537, 338
384, 385, 384
384, 294, 378
384, 384, 371
384, 538, 337
385, 385, 382
385, 384, 370
386, 383, 385
386, 296, 378
386, 384, 371
386, 539, 345
387, 386, 386
387, 382, 372
387, 539, 345
388, 385, 390
388, 296, 380
388, 384, 372
388, 538, 344
389, 384, 390
389, 387, 376
389, 539, 342
390, 385, 391
390, 295, 381
390, 389, 375
390, 539, 342
391, 386, 390
391, 296, 382
391, 383, 374
391, 538, 343
392, 296, 383
392, 386, 384
392, 538, 343
393, 393, 382
393, 296, 385
393, 541, 342
394, 386, 396
394, 383, 379
394, 541, 346
395, 385, 399
395, 541, 346
396, 387, 404
396, 296, 401
396, 383, 388
396, 542, 341
397, 295, 405
397, 388, 402
397, 542, 346
398, 294, 407
398, 382, 401
398, 542, 341
399, 276, 411
399, 301, 409
399, 538, 342
400, 290, 413
400, 275, 412
400, 305, 407
400, 380, 401
400, 541, 342
401, 378, 412
401, 272, 411
401, 304, 408
402, 268, 412
402, 301, 408
402, 373, 406
