Frame, X, Y
1, 559, 339
1, 586, 336
2, 579, 338
3, 559, 341
4, 586, 353
4, 589, 339
4, 559, 340
5, 564, 339
5, 588, 338
6, 562, 340
6, 585, 339
7, 563, 339
7, 588, 343
8, 586, 339
10, 552, 344
11, 589, 338
11, 568, 337
15, 591, 339
16, 568, 338
16, 586, 338
16, 555, 338
17, 561, 338
18, 563, 338
19, 587, 340
19, 560, 339
20, 557, 340
20, 588, 338
21, 555, 344
22, 562, 339
22, 584, 337
23, 588, 337
23, 565, 338
24, 564, 341
25, 576, 339
26, 568, 336
27, 585, 336
27, 128, 311
28, 581, 338
28, 120, 296
29, 115, 290
30, 583, 342
30, 112, 286
31, 586, 343
31, 621, 328
31, 108, 285
32, 585, 344
32, 105, 284
33, 586, 349
33, 105, 285
34, 591, 343
34, 106, 285
35, 591, 343
35, 106, 285
36, 590, 347
36, 109, 285
37, 593, 347
37, 120, 288
38, 121, 289
38, 119, 247
39, 124, 291
39, 120, 249
40, 124, 293
41, 122, 295
42, 591, 352
42, 122, 296
43, 121, 297
44, 122, 298
44, 117, 243
45, 119, 298
46, 119, 298
47, 116, 298
48, 591, 340
48, 116, 298
48, 113, 255
49, 590, 338
49, 113, 300
50, 589, 338
50, 113, 301
50, 111, 258
51, 589, 344
51, 113, 303
52, 585, 345
52, 111, 303
52, 109, 261
53, 113, 304
53, 108, 262
54, 587, 344
54, 110, 304
55, 589, 345
55, 111, 303
55, 108, 262
56, 588, 347
56, 109, 302
56, 107, 259
57, 588, 347
57, 109, 302
57, 107, 259
58, 588, 342
58, 106, 301
59, 587, 344
59, 104, 299
60, 586, 348
60, 98, 297
61, 591, 339
61, 92, 293
62, 587, 351
62, 89, 291
63, 590, 344
63, 86, 290
64, 588, 348
64, 82, 289
65, 83, 288
66, 587, 349
66, 82, 288
67, 587, 349
67, 82, 288
68, 80, 288
69, 587, 348
69, 82, 288
70, 587, 352
70, 84, 288
71, 89, 288
72, 589, 343
72, 93, 289
73, 588, 344
73, 105, 290
74, 589, 343
74, 112, 291
75, 587, 349
75, 123, 291
76, 587, 350
76, 131, 292
77, 588, 346
77, 140, 292
78, 588, 346
78, 140, 292
79, 587, 345
79, 151, 292
80, 161, 292
81, 586, 349
82, 588, 346
83, 589, 344
84, 588, 345
85, 589, 347
86, 589, 349
87, 592, 341
91, 590, 347
92, 588, 349
93, 590, 345
95, 589, 348
97, 240, 282
100, 591, 342
100, 227, 282
101, 588, 347
102, 586, 352
103, 586, 350
104, 588, 345
105, 586, 346
106, 588, 342
107, 587, 343
107, 233, 254
108, 587, 344
109, 587, 341
110, 587, 341
111, 589, 338
112, 588, 341
113, 588, 343
114, 588, 344
114, 238, 304
115, 590, 345
115, 232, 305
116, 586, 351
116, 591, 336
117, 590, 338
117, 224, 307
118, 587, 345
118, 225, 268
120, 588, 343
120, 216, 269
121, 588, 345
121, 207, 308
121, 211, 262
122, 590, 352
122, 206, 265
123, 585, 350
123, 591, 337
123, 202, 263
124, 588, 344
124, 199, 263
125, 586, 349
125, 198, 264
126, 588, 344
126, 196, 309
126, 197, 263
127, 586, 347
128, 587, 345
128, 196, 309
129, 588, 344
129, 196, 310
130, 588, 343
131, 589, 343
132, 588, 343
132, 197, 309
133, 588, 343
134, 586, 354
134, 589, 341
134, 195, 308
135, 587, 345
136, 590, 340
137, 588, 343
138, 587, 348
138, 196, 308
139, 585, 349
139, 590, 336
139, 200, 259
140, 588, 345
140, 199, 308
141, 589, 346
141, 202, 262
142, 586, 347
142, 203, 263
143, 588, 344
143, 206, 263
144, 586, 347
145, 588, 342
146, 588, 344
146, 213, 264
147, 591, 337
147, 212, 308
148, 215, 307
148, 217, 259
149, 591, 339
149, 215, 307
149, 218, 262
150, 215, 307
151, 588, 343
151, 218, 267
152, 590, 340
152, 215, 307
152, 218, 265
153, 585, 352
153, 590, 339
153, 215, 307
153, 218, 262
154, 588, 345
154, 218, 266
155, 591, 342
155, 214, 306
155, 217, 262
156, 588, 343
156, 214, 306
156, 218, 261
157, 218, 262
158, 588, 343
158, 214, 305
158, 218, 265
159, 588, 344
159, 218, 260
160, 588, 346
160, 218, 265
161, 586, 349
161, 218, 261
162, 587, 345
162, 218, 264
163, 585, 351
163, 219, 261
164, 589, 343
164, 215, 303
164, 219, 261
165, 591, 339
165, 219, 258
166, 589, 345
166, 219, 259
167, 588, 345
167, 220, 262
168, 587, 347
168, 220, 259
169, 591, 350
170, 586, 349
171, 222, 250
172, 590, 342
172, 221, 260
173, 588, 346
173, 221, 261
174, 589, 344
174, 221, 259
175, 588, 349
175, 222, 254
176, 592, 347
176, 221, 259
176, 222, 249
177, 588, 345
178, 587, 347
178, 222, 254
179, 588, 345
179, 219, 297
180, 590, 347
180, 617, 327
181, 588, 347
181, 223, 250
182, 591, 339
182, 219, 297
182, 223, 257
183, 587, 347
183, 222, 254
184, 223, 257
185, 588, 344
186, 588, 345
186, 223, 257
187, 588, 345
187, 223, 258
188, 591, 338
188, 216, 297
189, 588, 350
190, 588, 346
190, 224, 249
191, 588, 344
191, 223, 254
192, 589, 342
193, 223, 256
194, 586, 349
195, 586, 349
196, 588, 346
196, 219, 299
196, 223, 260
197, 591, 348
197, 223, 256
198, 589, 345
199, 587, 350
199, 223, 261
200, 588, 345
200, 224, 261
201, 588, 345
201, 617, 328
202, 589, 344
202, 223, 260
203, 588, 344
203, 223, 261
204, 586, 347
204, 222, 260
205, 586, 346
205, 218, 300
206, 586, 346
206, 223, 259
207, 586, 351
207, 224, 261
208, 586, 352
208, 590, 339
209, 589, 343
209, 228, 250
210, 586, 348
210, 225, 263
211, 590, 338
211, 225, 257
212, 588, 342
212, 223, 263
213, 586, 345
214, 588, 344
215, 586, 342
215, 223, 262
216, 586, 345
216, 224, 263
217, 586, 343
217, 225, 262
218, 588, 341
218, 226, 258
219, 588, 344
220, 589, 342
220, 226, 259
222, 588, 343
222, 227, 259
223, 588, 344
223, 227, 259
224, 586, 348
225, 586, 348
225, 228, 260
226, 587, 345
227, 590, 345
227, 229, 259
228, 590, 345
228, 229, 259
229, 586, 347
229, 219, 300
229, 229, 257
230, 588, 341
230, 230, 262
